,query,reference,label,matches,inliers,kpts0,kpts1
0,Live/image0164.png,Reference/image1233.png,0,28,18,2232,2727
1,Live/image0705.png,Reference/image0026.png,0,25,21,1724,2831
2,Live/image1226.png,Reference/image1243.png,0,14,8,2591,2752
3,Live/image0283.png,Reference/image0026.png,0,37,30,2392,2831
4,Live/image0283.png,Reference/image1286.png,0,18,15,2392,2565
5,Live/image0268.png,Reference/image1260.png,0,11,7,1649,2924
6,Live/image1118.png,Reference/image0821.png,0,16,15,2472,1323
7,Live/image0315.png,Reference/image1312.png,0,27,20,2435,1914
8,Live/image0794.png,Reference/image0230.png,0,9,7,2058,645
9,Live/image0935.png,Reference/image0442.png,0,21,15,1790,1874
10,Live/image0649.png,Reference/image1024.png,0,8,7,1980,1945
11,Live/image0006.png,Reference/image0566.png,0,23,17,2063,1504
12,Live/image1073.png,Reference/image1000.png,0,6,0,2178,1207
13,Live/image0741.png,Reference/image0201.png,0,15,13,2619,2294
14,Live/image0741.png,Reference/image0880.png,0,24,16,2619,269
15,Live/image0589.png,Reference/image1342.png,0,14,8,1885,2303
16,Live/image1273.png,Reference/image0389.png,0,25,17,2258,1728
17,Live/image0043.png,Reference/image0029.png,0,31,22,2430,2480
18,Live/image0193.png,Reference/image0027.png,0,12,7,2361,2788
19,Live/image1260.png,Reference/image0385.png,0,13,7,2527,1986
20,Live/image0242.png,Reference/image0761.png,0,13,7,2065,1713
21,Live/image1364.png,Reference/image0390.png,0,12,7,1810,2198
22,Live/image0396.png,Reference/image0492.png,0,8,7,1798,1945
23,Live/image1131.png,Reference/image0806.png,0,9,7,2401,1793
24,Live/image1131.png,Reference/image1121.png,0,42,23,2401,1704
25,Live/image0199.png,Reference/image0397.png,0,14,8,2459,2539
26,Live/image0957.png,Reference/image1066.png,0,24,20,2666,2688
27,Live/image0651.png,Reference/image0541.png,0,7,0,2439,2162
28,Live/image0228.png,Reference/image1148.png,0,16,11,2178,1853
29,Live/image0982.png,Reference/image0390.png,0,12,7,2059,2198
30,Live/image1094.png,Reference/image0034.png,0,18,15,2195,2546
31,Live/image1405.png,Reference/image1397.png,0,19,14,2467,2559
32,Live/image0393.png,Reference/image0394.png,1,57,49,2179,1009
33,Live/image1008.png,Reference/image1009.png,1,41,32,2473,1456
34,Live/image1008.png,Reference/image0030.png,0,26,21,2473,2686
35,Live/image0717.png,Reference/image1269.png,0,28,20,2531,2465
36,Live/image0694.png,Reference/image1234.png,0,24,16,1811,2453
37,Live/image0249.png,Reference/image0322.png,0,17,14,2208,1352
38,Live/image0342.png,Reference/image1362.png,0,11,7,2108,203
39,Live/image0555.png,Reference/image0650.png,0,5,0,2203,1522
40,Live/image0108.png,Reference/image0102.png,0,23,18,4175,1312
41,Live/image0335.png,Reference/image0057.png,0,12,7,1939,2123
42,Live/image1135.png,Reference/image1132.png,0,44,38,2828,1942
43,Live/image0533.png,Reference/image1012.png,0,4,0,2152,2514
44,Live/image0533.png,Reference/image0047.png,0,7,0,2152,2096
45,Live/image1213.png,Reference/image1380.png,0,28,24,2670,873
46,Live/image0511.png,Reference/image0200.png,0,20,17,2600,2103
47,Live/image0062.png,Reference/image0760.png,0,26,18,2102,1993
48,Live/image0038.png,Reference/image0737.png,0,22,15,2521,1882
49,Live/image0416.png,Reference/image0479.png,0,13,7,2028,2961
50,Live/image0796.png,Reference/image0027.png,0,27,20,2012,2788
51,Live/image0951.png,Reference/image0363.png,0,11,7,2466,2464
52,Live/image1310.png,Reference/image1326.png,0,23,18,1800,1569
53,Live/image1172.png,Reference/image1171.png,1,85,72,2999,1096
54,Live/image1172.png,Reference/image0348.png,0,4,0,2999,2326
55,Live/image0079.png,Reference/image0141.png,0,25,20,1540,1180
56,Live/image1182.png,Reference/image1065.png,0,18,17,2712,2737
57,Live/image1302.png,Reference/image1400.png,0,26,20,2703,1251
58,Live/image1037.png,Reference/image0824.png,0,21,15,1832,1773
59,Live/image0364.png,Reference/image0206.png,0,6,0,2655,2842
60,Live/image0847.png,Reference/image1067.png,0,14,8,1742,2691
61,Live/image1099.png,Reference/image1245.png,0,18,16,2449,2060
62,Live/image0853.png,Reference/image1129.png,0,19,11,2071,2484
63,Live/image0786.png,Reference/image0257.png,0,18,15,1967,115
64,Live/image0786.png,Reference/image0892.png,0,13,7,1967,958
65,Live/image0677.png,Reference/image0441.png,0,13,7,1721,718
66,Live/image0863.png,Reference/image1011.png,0,15,10,1718,1198
67,Live/image1180.png,Reference/image0658.png,0,13,7,1526,393
68,Live/image0084.png,Reference/image0206.png,0,14,8,2585,2842
69,Live/image0299.png,Reference/image0311.png,0,26,18,2671,2065
70,Live/image0978.png,Reference/image0396.png,0,5,0,2115,2452
71,Live/image0326.png,Reference/image0044.png,0,14,8,2218,1697
72,Live/image0620.png,Reference/image1229.png,0,22,17,2283,2656
73,Live/image1016.png,Reference/image0473.png,0,13,7,2510,1969
74,Live/image1016.png,Reference/image0357.png,0,30,20,2510,1286
75,Live/image1026.png,Reference/image0031.png,0,21,18,1685,2626
76,Live/image0329.png,Reference/image1232.png,0,22,17,2307,2637
77,Live/image0647.png,Reference/image0201.png,0,21,14,2228,2294
78,Live/image1194.png,Reference/image0690.png,0,12,7,1969,333
79,Live/image1278.png,Reference/image0478.png,0,5,0,1986,2587
80,Live/image0472.png,Reference/image0256.png,0,19,14,2123,1593
81,Live/image1034.png,Reference/image0026.png,0,24,20,1850,2831
82,Live/image1307.png,Reference/image1241.png,0,20,15,2210,2767
