,query,reference,label,matches,inliers,kpts0,kpts1
0,Live/image0164.png,Reference/image1286.png,0,12,7,908,713
1,Live/image0705.png,Reference/image0253.png,0,13,7,887,808
2,Live/image1226.png,Reference/image1229.png,0,29,25,789,820
3,Live/image1226.png,Reference/image0323.png,0,1,0,789,669
4,Live/image0283.png,Reference/image0029.png,0,18,18,1047,540
5,Live/image0268.png,Reference/image1388.png,0,19,19,762,563
6,Live/image1118.png,Reference/image1129.png,0,14,8,738,585
7,Live/image0315.png,Reference/image0200.png,0,12,7,1008,672
8,Live/image0794.png,Reference/image0369.png,0,1,0,869,611
9,Live/image0935.png,Reference/image1248.png,0,18,17,757,644
10,Live/image0649.png,Reference/image0478.png,0,0,0,1115,626
11,Live/image0006.png,Reference/image1270.png,0,21,20,975,738
12,Live/image1073.png,Reference/image1001.png,0,19,19,868,743
13,Live/image1073.png,Reference/image0143.png,0,15,13,868,1204
14,Live/image0741.png,Reference/image1060.png,0,10,7,767,673
15,Live/image0589.png,Reference/image0490.png,0,1,0,811,656
16,Live/image1273.png,Reference/image0359.png,0,5,0,1030,592
17,Live/image0043.png,Reference/image1226.png,0,14,9,958,818
18,Live/image0193.png,Reference/image0633.png,0,6,0,1120,742
19,Live/image1260.png,Reference/image1243.png,0,16,16,916,749
20,Live/image0242.png,Reference/image0828.png,0,12,7,764,572
21,Live/image1364.png,Reference/image0388.png,0,13,8,888,716
22,Live/image0396.png,Reference/image0477.png,0,2,0,693,620
23,Live/image0396.png,Reference/image0428.png,0,5,0,693,643
24,Live/image1131.png,Reference/image0807.png,0,2,0,743,675
25,Live/image0199.png,Reference/image0286.png,0,0,0,958,672
26,Live/image0957.png,Reference/image1084.png,0,0,0,973,688
27,Live/image0651.png,Reference/image0403.png,0,0,0,767,656
28,Live/image0228.png,Reference/image0845.png,0,3,0,995,826
29,Live/image0982.png,Reference/image0716.png,0,23,22,745,665
30,Live/image1094.png,Reference/image0867.png,0,23,22,715,624
31,Live/image1405.png,Reference/image1398.png,0,38,31,909,462
32,Live/image0393.png,Reference/image0393.png,1,91,83,702,589
33,Live/image0393.png,Reference/image0343.png,0,0,0,702,599
34,Live/image1008.png,Reference/image0811.png,0,2,0,780,751
35,Live/image0717.png,Reference/image0541.png,0,2,0,818,576
36,Live/image0694.png,Reference/image0381.png,0,17,17,841,621
37,Live/image0249.png,Reference/image0332.png,0,15,15,960,657
38,Live/image0342.png,Reference/image1220.png,0,21,18,725,727
39,Live/image0555.png,Reference/image0490.png,0,9,7,827,656
40,Live/image0108.png,Reference/image0106.png,1,69,62,963,1227
41,Live/image0335.png,Reference/image0479.png,0,1,0,871,570
42,Live/image1135.png,Reference/image1138.png,0,63,58,782,515
43,Live/image1135.png,Reference/image1078.png,0,13,7,782,863
44,Live/image0533.png,Reference/image0200.png,0,0,0,923,672
45,Live/image1213.png,Reference/image1381.png,0,19,18,613,500
46,Live/image0511.png,Reference/image0510.png,1,25,24,918,540
47,Live/image0062.png,Reference/image0493.png,0,13,7,1033,624
48,Live/image0038.png,Reference/image0026.png,0,22,21,1038,531
49,Live/image0416.png,Reference/image0396.png,0,0,0,750,651
50,Live/image0796.png,Reference/image0914.png,0,0,0,791,704
51,Live/image0951.png,Reference/image1279.png,0,0,0,996,697
52,Live/image1310.png,Reference/image1246.png,0,23,20,790,655
53,Live/image1310.png,Reference/image1392.png,0,18,18,790,587
54,Live/image1172.png,Reference/image1104.png,0,10,7,802,683
55,Live/image0079.png,Reference/image1404.png,0,22,20,943,595
56,Live/image1182.png,Reference/image0201.png,0,14,8,690,646
57,Live/image1302.png,Reference/image1350.png,0,17,17,959,514
58,Live/image1037.png,Reference/image0742.png,0,0,0,894,662
59,Live/image0364.png,Reference/image0353.png,0,9,7,730,680
60,Live/image0847.png,Reference/image1128.png,0,0,0,779,554
61,Live/image1099.png,Reference/image0716.png,0,21,21,763,665
62,Live/image0853.png,Reference/image1217.png,0,0,0,921,643
63,Live/image0853.png,Reference/image0802.png,0,19,14,921,580
64,Live/image0786.png,Reference/image0275.png,0,1,0,906,592
65,Live/image0677.png,Reference/image0895.png,0,1,0,917,705
66,Live/image0863.png,Reference/image1012.png,0,17,17,742,698
67,Live/image1180.png,Reference/image1382.png,0,21,20,629,604
68,Live/image0084.png,Reference/image0085.png,1,76,65,841,744
69,Live/image0299.png,Reference/image1128.png,0,19,18,933,554
70,Live/image0978.png,Reference/image0372.png,0,1,0,730,585
71,Live/image0326.png,Reference/image0397.png,0,1,0,1136,571
72,Live/image0620.png,Reference/image1286.png,0,15,14,771,713
73,Live/image0620.png,Reference/image1261.png,0,17,17,771,721
